N,M,algorithm,mean_ms,std_ms,gpu_ms,gpu_std,speedup
5000,2,GPU-NDS,36.12478103637695,3.7084736720401303,36.12478103637695,3.7084736720401303,1.0
10000,2,CPP-DCNS,329.75729999999993,11.075497461062412,82.67579879760743,6.4652382556145405,3.988558983352004
10000,2,CPP-BOS,47.974599999999995,3.3815823574178983,82.67579879760743,6.4652382556145405,0.5802738007702001
10000,2,GPU-NDS,82.67579879760743,6.4652382556145405,82.67579879760743,6.4652382556145405,1.0
100,3,CPP-NSGA2,0.0528,0.1584,0.7604448080062867,0.09991104580717004,0.06943304687480159
100,3,CPP-DCNS,0.0,0.0,0.7604448080062867,0.09991104580717004,0.0
100,3,CPP-BOS,0.0,0.0,0.7604448080062867,0.09991104580717004,0.0
100,3,GPU-NDS,0.7604448080062867,0.09991104580717004,0.7604448080062867,0.09991104580717004,1.0
500,3,CPP-NSGA2,1.3921000000000001,0.43912013162687036,1.7883040070533753,0.10754758005956896,0.7784470618582304
500,3,CPP-DCNS,0.8437999999999999,0.5062552320717288,1.7883040070533753,0.10754758005956896,0.4718437115120858
500,3,CPP-BOS,0.0,0.0,1.7883040070533753,0.10754758005956896,0.0
500,3,GPU-NDS,1.7883040070533753,0.10754758005956896,1.7883040070533753,0.10754758005956896,1.0
1000,3,CPP-NSGA2,5.374099999999999,2.272075854807669,2.3382336139678954,0.19668607796580517,2.2983588842007756
1000,3,CPP-DCNS,4.1991,1.9601407321924615,2.3382336139678954,0.19668607796580517,1.795842799845086
1000,3,CPP-BOS,0.9105000000000001,0.1744180323246424,2.3382336139678954,0.19668607796580517,0.38939650621774935
1000,3,GPU-NDS,2.3382336139678954,0.19668607796580517,2.3382336139678954,0.19668607796580517,1.0
2000,3,CPP-NSGA2,22.8034,1.6446163199968553,4.7163551330566404,0.1711985391276162,4.834962456531821
2000,3,CPP-DCNS,14.890800000000002,1.0231419060912321,4.7163551330566404,0.1711985391276162,3.1572686067746063
2000,3,CPP-BOS,3.4848,0.6133367427441471,4.7163551330566404,0.1711985391276162,0.7388756575125679
2000,3,GPU-NDS,4.7163551330566404,0.1711985391276162,4.7163551330566404,0.1711985391276162,1.0
5000,3,CPP-NSGA2,140.3596,2.721499042807111,16.12431049346924,0.32817264822816133,8.704843537765491
5000,3,CPP-DCNS,97.8831,4.901033002337364,16.12431049346924,0.32817264822816133,6.0705293438528845
5000,3,CPP-BOS,19.401,2.016745298742506,16.12431049346924,0.32817264822816133,1.2032142402528099
5000,3,GPU-NDS,16.12431049346924,0.32817264822816133,16.12431049346924,0.32817264822816133,1.0
10000,3,CPP-DCNS,408.337,6.4665594252275955,37.090365409851074,3.3051960782543004,11.00924715860435
10000,3,CPP-BOS,77.9827,1.7142640432558813,37.090365409851074,3.3051960782543004,2.102505573571083
10000,3,GPU-NDS,37.090365409851074,3.3051960782543004,37.090365409851074,3.3051960782543004,1.0
100,5,CPP-NSGA2,0.0,0.0,0.7230848073959351,0.07156210742267337,0.0
100,5,CPP-DCNS,0.0,0.0,0.7230848073959351,0.07156210742267337,0.0
100,5,CPP-BOS,0.0,0.0,0.7230848073959351,0.07156210742267337,0.0
100,5,GPU-NDS,0.7230848073959351,0.07156210742267337,0.7230848073959351,0.07156210742267337,1.0
500,5,CPP-NSGA2,1.7271999999999998,0.8543962546734389,1.3681600093841553,0.08920613069965405,1.2624254386571772
500,5,CPP-DCNS,1.2597999999999998,1.6536653107566839,1.3681600093841553,0.08920613069965405,0.9207987306741036
500,5,CPP-BOS,0.0526,0.15780000000000002,1.3681600093841553,0.08920613069965405,0.03844579554965698
500,5,GPU-NDS,1.3681600093841553,0.08920613069965405,1.3681600093841553,0.08920613069965405,1.0
1000,5,CPP-NSGA2,6.8217,1.9032215872041804,1.8198400139808655,0.16698333755772699,3.748516324288123
1000,5,CPP-DCNS,5.146199999999999,1.518295873668897,1.8198400139808655,0.16698333755772699,2.8278309963867563
1000,5,CPP-BOS,1.3904,1.7125764917223407,1.8198400139808655,0.16698333755772699,0.7640232049621365
1000,5,GPU-NDS,1.8198400139808655,0.16698333755772699,1.8198400139808655,0.16698333755772699,1.0
2000,5,CPP-NSGA2,26.5918,1.2339446340902012,2.9146048069000243,0.22443012973555249,9.123638284355627
2000,5,CPP-DCNS,19.180500000000002,2.1092032263392735,2.9146048069000243,0.22443012973555249,6.580823566403294
