problem,N,M,algorithm,mean_ms,std_ms
DTLZ7,2000,5,GPU-NDS,3.4185792446136474,0.2749851166136134
DTLZ7,2000,5,Naive-GPU,3.089721608161926,0.1410947465961595
DTLZ7,5000,5,CPU-NSGA2,87488.84038998513,1653.3359793831835
DTLZ7,5000,5,CPU-DCNS,90816.09405000927,2908.6616512023124
DTLZ7,5000,5,CPU-BOS,8000.687049992848,115.01045076987359
DTLZ7,5000,5,GPU-NDS,9.491465663909912,0.19342913966862776
DTLZ7,5000,5,Naive-GPU,8.53706865310669,0.04739375663287283
DTLZ7,10000,5,CPU-NSGA2,,
DTLZ7,10000,5,CPU-DCNS,376247.225219995,17149.468078335834
DTLZ7,10000,5,CPU-BOS,,
DTLZ7,10000,5,GPU-NDS,21.58632621765137,0.41531061250684176
DTLZ7,10000,5,Naive-GPU,,
WFG4,100,5,CPU-NSGA2,34.49803999392316,1.0781370576950084
WFG4,100,5,CPU-DCNS,18.847130006179214,0.27896510500507604
WFG4,100,5,CPU-BOS,17.51987999305129,0.3111992947228631
WFG4,100,5,GPU-NDS,0.6350400030612946,0.11231160269052913
WFG4,100,5,Naive-GPU,0.27282559871673584,0.013421884589086091
WFG4,500,5,CPU-NSGA2,844.8759999999311,26.57866684629401
WFG4,500,5,CPU-DCNS,475.04112001042813,15.0299289196893
WFG4,500,5,CPU-BOS,442.7767899935134,12.243421852774597
WFG4,500,5,GPU-NDS,0.5486304014921188,0.1379265334591692
WFG4,500,5,Naive-GPU,0.26578879803419114,0.016774111813014893
WFG4,1000,5,CPU-NSGA2,3526.908620004542,117.81594452829506
WFG4,1000,5,CPU-DCNS,1905.9068399947137,56.858082408140795
WFG4,1000,5,CPU-BOS,1776.9921900064219,47.230051394766406
WFG4,1000,5,GPU-NDS,0.5432383924722671,0.12578771611339226
WFG4,1000,5,Naive-GPU,0.2571199953556061,0.017849677197026858
WFG4,2000,5,CPU-NSGA2,13812.290320009924,278.86352245521863
WFG4,2000,5,CPU-DCNS,7517.3136699944735,113.98662374442931
WFG4,2000,5,CPU-BOS,7165.262070001336,91.6460737056478
WFG4,2000,5,GPU-NDS,0.7607456147670746,0.12049502664053795
WFG4,2000,5,Naive-GPU,0.32675839960575104,0.027637947617250854
WFG4,5000,5,CPU-NSGA2,85750.3500699997,559.2542779002058
WFG4,5000,5,CPU-DCNS,46736.82193000568,214.91569972700725
WFG4,5000,5,CPU-BOS,44224.23194000148,518.1314906171601
WFG4,5000,5,GPU-NDS,2.120086407661438,0.2205102979843954
WFG4,5000,5,Naive-GPU,1.097372794151306,0.009537782238114353
WFG4,10000,5,CPU-NSGA2,,
WFG4,10000,5,CPU-DCNS,186431.33870000602,4265.794740609751
WFG4,10000,5,CPU-BOS,,
WFG4,10000,5,GPU-NDS,7.083504009246826,0.20670920959934652
WFG4,10000,5,Naive-GPU,,
